company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Linear,Mid Level,Craft Over Growth,Prioritizing product quality and attention to detail over rapid scaling,Tell me about a time when you had to choose between shipping a feature quickly or taking extra time to perfect its quality. What was your decision process?,Values,Medium,"If you want to build a culture of quality, you need buy-in from the top. You have to set the tone that craft is the most important priority for teams to follow.",Karri Saarinen - CEO - Figma Blog - 2023
Linear,Senior,Form Follows Function,Design and engineering decisions should prioritize functional value over aesthetics,Tell me about a time when you had to redesign or refactor something that looked good but didn't work well. How did you approach it?,Problem Solving,Medium,"I come from a design background, so I always believed that form follows the function, not the other way around.",Karri Saarinen - CEO - Runtime News - 2023
Notion,Entry Level,Perspective Over Intelligence,Valuing diverse perspectives and creative thinking approaches over raw technical ability,Tell me about a time when you approached a problem from an unconventional angle and discovered a better solution.,Problem Solving,Easy,"I really like this quote from Alan Kay: 'A perspective is worth 80 points IQ'. It's not about your raw intelligence, it's not about your raw CPU, it's about your taste, your perspective, your outlook on things.",Ivan Zhao - CEO - First Block Podcast - 2024
Notion,Mid Level,Building for the World vs Self,Creating products that solve real user problems rather than what you personally want,Tell me about a time when you had to pivot from building something you were excited about to something users actually needed.,Values,Medium,"It's about whether you are building something for yourself or are you building something that the world wants. The first-version Notion is very much what you think the world wants, what you want.",Ivan Zhao - CEO - Lenny's Newsletter - 2024
Vercel,Senior,Mental Health by Design,Building systems and processes that protect team wellbeing and prevent burnout,Tell me about a time when you designed a process or system specifically to reduce stress or cognitive load for your team.,Leadership,Hard,"I want to build a platform that is not keeping anyone up at night; I want to build a platform that is secure and reliable by default. Consider what you can do design-wise to protect the future mental health of your team.",Guillermo Rauch - CEO - G2i Blog - 2023
Vercel,Mid Level,Slope Over Y-Intercept,Hiring for consistent growth potential rather than impressive initial performance,Tell me about a time when you had to evaluate team members based on their learning trajectory rather than their current skill level.,Leadership,Medium,"Hire for slope, not y-intercept, meaning hire people who will perform steadily over time rather than spike and then fade.",Guillermo Rauch - CEO - G2i Blog - 2023
Snowflake,Leadership,War Against Mediocrity,Actively challenging status quo and demanding excellence in all areas,Tell me about a time when you had to confront mediocrity in your team or organization and drive change toward excellence.,Leadership,Hard,"Leading for unprecedented growth means declaring war on mediocrity, breaking the status quo, and making conflicted choices daily, all with a relentless focus on the mission.",Frank Slootman - CEO - ICONIQ Capital - 2022
Snowflake,Senior,Drivers Not Passengers,Seeking people who take ownership and drive results rather than coast along,Tell me about a time when you took ownership of a problem that wasn't technically your responsibility and drove it to completion.,Values,Medium,"It is important to recruit and retain drivers, not passengers. Drivers are people that get satisfaction from making things happen; they have a strong sense of ownership.",Frank Slootman - CEO - ICONIQ Capital - 2022
Supabase,Entry Level,Open Source Advantage,Leveraging transparency and community contribution as competitive strengths,Tell me about a time when you contributed to or learned from an open source project and how it benefited your work.,Culture Fit,Easy,"Open source truly is the future... whether you look at Supabase, where the whole thing is open source... it seems to be a trend that I am very onboard with.",Paul Copplestone - CEO - LinkedIn - 2022
Supabase,Mid Level,Intellectual Honesty,Maintaining transparency about capabilities and limitations while staying curious,Tell me about a time when you had to admit you didn't know something important and how you handled the situation.,Values,Medium,"They're very curious, they're very hardworking and they have a lot of intellectual honesty and that's how we built the culture.",Paul Copplestone - CEO - Diaspora NZ Podcast - 2024
