Google,How would you design a personalized learning system for Google Classroom?,Senior,ML System Design,"ML System Design & Architecture,Feature Engineering & Data Strategy,Business Impact & Communication",Senior DS,DataCamp
Meta,Design an ML system for virtual reality fitness tracking,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Feature Engineering & Data Strategy",Senior DS,DataCamp
Amazon,How would you build a warehouse automation optimization system?,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Performance Optimization & Scalability",Senior DS,DataCamp
Apple,Design a health prediction system using wearable data,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Ethics & Responsible AI",Senior DS,DataCamp
Netflix,How would you optimize subtitle timing using machine learning?,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Business Impact & Communication",Senior DS,DataCamp
Microsoft,Design an ML system for automated code documentation,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Feature Engineering & Data Strategy",Senior DS,DataCamp
Tesla,How would you build a battery degradation prediction system?,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Business Impact & Communication",Senior DS,DataCamp
Uber,Design a carbon emission optimization system for rides,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Business Impact & Communication",Senior DS,DataCamp
Airbnb,How would you implement bias detection in host pricing?,Senior,Ethics & Responsible AI,"Ethics & Responsible AI,Model Development & Selection,Feature Engineering & Data Strategy",Senior DS,DataCamp
LinkedIn,Design an ML system for professional mentor matching,Senior,ML System Design,"ML System Design & Architecture,Feature Engineering & Data Strategy,Business Impact & Communication",Senior DS,DataCamp
Salesforce,How would you build a customer health scoring system?,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Business Impact & Communication",Senior DS,DataCamp
Adobe,Design an ML system for automatic video editing,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Feature Engineering & Data Strategy",Senior DS,DataCamp
Spotify,How would you optimize podcast discovery algorithms?,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Feature Engineering & Data Strategy",Senior DS,DataCamp
Snowflake,Design an ML system for automated query performance tuning,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Performance Optimization & Scalability",Senior DS,DataCamp
Databricks,How would you implement AutoML for time-series forecasting?,Senior,MLOps & Model Deployment,"MLOps & Model Deployment,Model Development & Selection,Feature Engineering & Data Strategy",Senior DS,DataCamp
MongoDB,Design a recommendation system for database schema design,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Performance Optimization & Scalability",Senior DS,DataCamp
Elastic,How would you build an intelligent log analysis system?,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Performance Optimization & Scalability",Senior DS,DataCamp
Confluent,Design an ML system for real-time data quality monitoring,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Performance Optimization & Scalability",Senior DS,DataCamp
Palantir,How would you implement pattern recognition for threat intelligence?,Staff,ML System Design,"ML System Design & Architecture,Ethics & Responsible AI,Model Development & Selection",Staff DS,DataCamp
Splunk,Design an ML system for automated incident classification,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Business Impact & Communication",Senior DS,DataCamp
Stripe,How would you build a merchant category classification system?,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Business Impact & Communication",Senior DS,DataCamp
Shopify,Design an ML system for inventory demand prediction,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Business Impact & Communication",Senior DS,DataCamp
DoorDash,How would you optimize food preparation time predictions?,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Performance Optimization & Scalability",Senior DS,DataCamp
Instacart,Design an ML system for grocery price optimization,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Business Impact & Communication",Senior DS,DataCamp
Robinhood,How would you build a market sentiment analysis system?,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Business Impact & Communication",Senior DS,DataCamp
Coinbase,Design an ML system for DeFi yield optimization,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Ethics & Responsible AI",Senior DS,DataCamp
Discord,How would you implement automated community guidelines enforcement?,Senior,Model Development & Selection,"Model Development & Selection,Ethics & Responsible AI,Feature Engineering & Data Strategy",Senior DS,DataCamp
OpenAI,Design an experiment to measure prompt injection vulnerabilities,Staff,Experimentation & A/B Testing,"Experimentation & A/B Testing,Ethics & Responsible AI,Model Development & Selection",Staff DS,DataCamp
Anthropic,How would you implement constitutional AI evaluation metrics?,Staff,Ethics & Responsible AI,"Ethics & Responsible AI,Model Development & Selection,Experimentation & A/B Testing",Staff DS,DataCamp
