company,question,difficulty,question_type,skills_assessed,ds_level,source
Netflix,Design a recommendation system for 200M users,Staff,ML System Design,"ML System Design & Architecture,Model Development & Selection,Business Impact & Communication",Staff DS,Exponent
Google,How would you design a search ranking algorithm?,Staff,ML System Design,"ML System Design & Architecture,Model Development & Selection,Feature Engineering & Data Strategy",Staff DS,Exponent
Meta,Design an ML system to detect fake news,Senior,ML System Design,"ML System Design & Architecture,Ethics & Responsible AI,Model Development & Selection",Senior DS,DataCamp
Amazon,How would you build a fraud detection system?,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Data Analysis & Visualization",Senior DS,MLOps
Uber,Design dynamic pricing for ride-sharing,Staff,ML System Design,"ML System Design & Architecture,Business Impact & Communication,Experimentation & A/B Testing",Staff DS,Exponent
Airbnb,How would you predict booking cancellations?,Senior,Model Development & Selection,"Model Development & Selection,Feature Engineering & Data Strategy,Business Impact & Communication",Senior DS,DataCamp
LinkedIn,Design a job recommendation system,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Feature Engineering & Data Strategy",Senior DS,Exponent
Spotify,How would you improve music recommendations?,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Experimentation & A/B Testing",Senior DS,DataCamp
Tesla,Design ML for autonomous vehicle perception,Staff,ML System Design,"ML System Design & Architecture,Model Development & Selection,Ethics & Responsible AI",Staff DS,Exponent
OpenAI,How would you evaluate language model performance?,Staff,Model Performance & Optimization,"Model Performance Optimization,Statistical Analysis & Inference,Ethics & Responsible AI",Staff DS,MLOps
General,Explain bias-variance tradeoff,Mid,Model Development & Selection,"Model Development & Selection,Statistical Analysis & Inference,Technical Communication",DS,DataCamp
General,When would you use ensemble methods?,Senior,Model Development & Selection,"Model Development & Selection,Model Performance Optimization,Technical Communication",Senior DS,DataCamp
General,How do you handle class imbalance?,Mid,Model Performance & Optimization,"Model Performance Optimization,Model Development & Selection,Statistical Analysis & Inference",DS,DataCamp
General,Explain overfitting and how to prevent it,Mid,Model Development & Selection,"Model Development & Selection,Model Performance Optimization,Technical Communication",DS,DataCamp
General,What is cross-validation and why use it?,Junior,Model Development & Selection,"Model Development & Selection,Statistical Analysis & Inference,Technical Communication",Junior DS,DataCamp
General,How do you select features for a model?,Mid,Feature Engineering & Data Strategy,"Feature Engineering & Data Strategy,Model Development & Selection,Technical Communication",DS,DataCamp
General,Explain precision vs recall trade-off,Mid,Model Performance & Optimization,"Model Performance Optimization,Statistical Analysis & Inference,Technical Communication",DS,DataCamp
General,When would you use linear vs tree-based models?,Mid,Model Development & Selection,"Model Development & Selection,Technology Selection & Trade-offs,Technical Communication",DS,DataCamp
General,How do you design an A/B test?,Mid,Experimentation & A/B Testing,"Experimentation & A/B Testing,Statistical Analysis & Inference,Business Impact & Communication",DS,DataCamp
General,What is statistical significance?,Junior,Experimentation & A/B Testing,"Experimentation & A/B Testing,Statistical Analysis & Inference,Technical Communication",Junior DS,DataCamp
General,How do you handle missing data?,Mid,Feature Engineering & Data Strategy,"Feature Engineering & Data Strategy,Data Analysis & Visualization,Technical Communication",DS,DataCamp
General,Explain model interpretability techniques,Senior,Ethics & Responsible AI,"Ethics & Responsible AI,Model Development & Selection,Technical Communication",Senior DS,DataCamp
General,How do you measure model drift?,Senior,MLOps & Model Deployment,"MLOps & Model Deployment,Model Performance Optimization,Statistical Analysis & Inference",Senior DS,MLOps
General,What is feature engineering?,Junior,Feature Engineering & Data Strategy,"Feature Engineering & Data Strategy,Technical Communication,Data Analysis & Visualization",Junior DS,DataCamp
General,How do you deploy ML models to production?,Senior,MLOps & Model Deployment,"MLOps & Model Deployment,ML System Design & Architecture,Technical Communication",Senior DS,MLOps
General,Explain different types of machine learning,Junior,Model Development & Selection,"Model Development & Selection,Technical Communication,Problem Framing & Decomposition",Junior DS,DataCamp
General,How do you evaluate clustering algorithms?,Mid,Model Performance & Optimization,"Model Performance Optimization,Statistical Analysis & Inference,Technical Communication",DS,DataCamp
General,What is regularization and when to use it?,Mid,Model Development & Selection,"Model Development & Selection,Model Performance Optimization,Technical Communication",DS,DataCamp
General,How do you handle time series data?,Senior,Feature Engineering & Data Strategy,"Feature Engineering & Data Strategy,Model Development & Selection,Statistical Analysis & Inference",Senior DS,DataCamp
General,Explain gradient descent optimization,Mid,Model Development & Selection,"Model Development & Selection,Technical Communication,Statistical Analysis & Inference",DS,DataCamp
Stripe,Design ML for payment fraud detection,Staff,ML System Design,"ML System Design & Architecture,Model Development & Selection,Ethics & Responsible AI",Staff DS,MLOps
Robinhood,How would you detect market manipulation?,Staff,ML System Design,"ML System Design & Architecture,Ethics & Responsible AI,Statistical Analysis & Inference",Staff DS,DataCamp
DoorDash,Design demand forecasting for restaurants,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Business Impact & Communication",Senior DS,Exponent
Instacart,How would you optimize delivery routes?,Senior,ML System Design,"ML System Design & Architecture,Model Performance Optimization,Business Impact & Communication",Senior DS,Exponent
Discord,Design content moderation ML system,Senior,ML System Design,"ML System Design & Architecture,Ethics & Responsible AI,Model Development & Selection",Senior DS,DataCamp
Roblox,How would you design game recommendation engine?,Senior,ML System Design,"ML System Design & Architecture,Model Development & Selection,Feature Engineering & Data Strategy",Senior DS,Exponent
