company,role,principle_name,principle_description,question,question_type,difficulty,source
Amazon,Senior,Customer Obsession,Start with customer and work backwards,Tell me about a time when you had to make a decision that was right for the customer but difficult for your business. How did you handle it?,Culture Fit,Senior,Amazon Leadership Principles
Amazon,Mid Level,Ownership,Act on behalf of the entire company beyond just your own team,Describe a situation where you took ownership of a problem that wasn't directly your responsibility. What was the outcome?,Leadership,Mid,Amazon Leadership Principles
Amazon,Leadership,Invent and Simplify,Look for new ideas and ways to simplify,Give me an example of when you took a complex process and made it simple. What was your approach?,Problem Solving,Leadership,Amazon Leadership Principles
Amazon,Senior,Are Right A Lot,Have strong business judgment and good instincts,Tell me about a time when you were wrong about something important. How did you handle it?,Values,Senior,Amazon Leadership Principles
Amazon,Mid Level,Learn and Be Curious,Never done learning and always seek to improve yourself,Describe a time when you realized you needed to learn something new to be effective in your role. How did you approach it?,Culture Fit,Mid,Amazon Leadership Principles
Amazon,Leadership,Hire and Develop the Best,Raise the performance bar with every hire and promotion,Tell me about a time when you had to make a difficult hiring decision. Walk me through your thought process.,Leadership,Leadership,Amazon Leadership Principles
Amazon,Senior,Insist on the Highest Standards,Have relentlessly high standards,Give me an example of when you pushed back on a deliverable because it didn't meet your standards. How did you handle the situation?,Values,Senior,Amazon Leadership Principles
Amazon,Mid Level,Think Big,Create and communicate bold direction that inspires results,Describe a time when you proposed an idea that others thought was too ambitious. How did you approach it?,Culture Fit,Mid,Amazon Leadership Principles
Amazon,Leadership,Bias for Action,Speed matters in business,Tell me about a time when you had to make a decision with incomplete information. How did you proceed?,Problem Solving,Leadership,Amazon Leadership Principles
Amazon,Senior,Frugality,Accomplish more with less,Give me an example of when you achieved significant results with limited resources. What was your approach?,Problem Solving,Senior,Amazon Leadership Principles
Amazon,Mid Level,Earn Trust,Listen attentively speak candidly and treat others respectfully,Describe a situation where you had to rebuild trust with a colleague or stakeholder. How did you approach it?,Teamwork,Mid,Amazon Leadership Principles
Amazon,Leadership,Dive Deep,Operate at all levels and stay connected to details,Tell me about a time when you had to go deep into details to solve a problem. What did you discover?,Problem Solving,Leadership,Amazon Leadership Principles
Amazon,Senior,Have Backbone Disagree and Commit,Respectfully challenge decisions when you disagree,Give me an example of when you disagreed with your manager's decision. How did you handle it?,Leadership,Senior,Amazon Leadership Principles
Amazon,Mid Level,Deliver Results,Focus on key inputs and deliver quality outcomes,Describe a time when you had to overcome significant obstacles to deliver results. What did you do?,Culture Fit,Mid,Amazon Leadership Principles
Amazon,Leadership,Strive to be Earth's Best Employer,Create a safer more diverse and more just work environment,Tell me about a time when you took action to improve the work environment for your team or colleagues.,Leadership,Leadership,Amazon Leadership Principles
Amazon,Senior,Success and Scale Bring Broad Responsibility,Act responsibly and think long term,Give me an example of when you had to balance short-term pressure with long-term responsibility. How did you approach it?,Values,Senior,Amazon Leadership Principles
Google,Senior,Think Big,Don't settle for incremental improvements,Tell me about a time when you challenged the status quo and proposed a significantly different approach. What happened?,Culture Fit,Senior,Google Values
Google,Mid Level,Be Bold,Take calculated risks to achieve breakthrough results,Describe a situation where you took a significant risk that others were hesitant about. How did you justify it?,Problem Solving,Mid,Google Values
Google,Leadership,Focus on the User,Everything else will follow,Give me an example of when you made a decision that prioritized user experience over business metrics. What was the result?,Culture Fit,Leadership,Google Values
Google,Senior,Democracy on the Web,Believe the web is a democracy where content quality determines results,Tell me about a time when you had to make a decision about content or information quality. How did you approach it?,Values,Senior,Google Values
Google,Mid Level,Fast is Better than Slow,Speed is a competitive advantage,Describe a situation where you had to balance speed with quality. How did you make that trade-off?,Problem Solving,Mid,Google Values
Google,Leadership,You Can Be Serious Without a Suit,Professional excellence doesn't require formality,Tell me about a time when you had to adapt your communication style for different audiences while maintaining authenticity.,Teamwork,Leadership,Google Values
Google,Senior,Great Just Isn't Good Enough,Always strive for improvement,Give me an example of when you improved something that was already working well. What motivated you to do so?,Culture Fit,Senior,Google Values
Meta,Senior,Move Fast,Speed enables innovation and learning,Tell me about a time when you had to make a quick decision with limited information. How did you ensure you moved fast while minimizing risks?,Culture Fit,Senior,Meta Values
Meta,Mid Level,Be Bold,Take on big challenges and be willing to fail,Describe a situation where you proposed a bold idea that had significant risk. How did you approach it?,Problem Solving,Mid,Meta Values
Meta,Leadership,Focus on Impact,Prioritize work that creates meaningful change,Give me an example of when you had to choose between multiple projects. How did you decide which would have the greatest impact?,Leadership,Leadership,Meta Values
Meta,Senior,Be Open,Share knowledge and be transparent in communication,Tell me about a time when you had to share difficult or sensitive information with your team. How did you approach it?,Teamwork,Senior,Meta Values
Meta,Mid Level,Build Social Value,Create products that bring people together,Describe a time when you worked on something that had positive social impact. What role did you play?,Culture Fit,Mid,Meta Values
Microsoft,Senior,Respect,Treat everyone with dignity and value diverse perspectives,Tell me about a time when you had to work with someone whose perspective was very different from yours. How did you handle it?,Teamwork,Senior,Microsoft Values
