Accenture,Entry Level,Innovation,Drive innovation through technology and human ingenuity,Tell me about a time when you had to learn a new technology quickly to solve a client problem.,Problem Solving,Medium,Company Website
Accenture,Mid Level,Client Value Creation,Put clients at the center of everything we do,Describe a situation where you went above and beyond to deliver value for a client or stakeholder.,Culture Fit,Medium,Company Website
Accenture,Senior,Inclusion & Diversity,Embrace the power of change to create value for our clients and people,Give me an example of how you've fostered inclusion in a diverse team environment.,Values,Hard,Company Website
Accenture,Leadership,Sustainability,Commit to creating a more sustainable and equitable world,Tell me about a time when you led an initiative that had both business impact and social responsibility.,Leadership,Hard,Company Website
PwC,Entry Level,Act with Integrity,Do the right thing even when no one is watching,Describe a situation where you had to make a difficult ethical decision under pressure.,Values,Medium,Company Values
PwC,Mid Level,Make a Difference,Create impact that matters for our clients and communities,Give me an example of how you've contributed to meaningful change in your organization.,Culture Fit,Medium,Company Values
PwC,Senior,Care,Show genuine concern for our people and the world around us,Tell me about a time when you had to balance competing priorities while ensuring team well-being.,Leadership,Hard,Company Values
PwC,Leadership,Work Together,Collaborate effectively to achieve shared goals,Describe how you've built and led cross-functional partnerships to drive business results.,Teamwork,Hard,Company Values
EY,Entry Level,Integrity,Build trust by doing the right thing,Tell me about a time when you had to deliver difficult news to a stakeholder while maintaining their trust.,Values,Medium,EY Values
EY,Mid Level,Respect,Value diverse perspectives and treat everyone with respect,Describe a situation where you successfully managed conflicting viewpoints in a team.,Teamwork,Medium,EY Values
EY,Senior,Teaming,Work collaboratively with colleagues and clients,Give me an example of how you've led a complex project involving multiple teams and stakeholders.,Leadership,Hard,EY Values
EY,Leadership,Inclusion,Create an inclusive environment where everyone can contribute,Tell me about how you've transformed a team's culture to be more inclusive and collaborative.,Leadership,Hard,EY Values
KPMG,Entry Level,Integrity,Act with honesty and uphold the highest professional standards,Describe a time when you had to admit a mistake and take responsibility for the consequences.,Values,Medium,KPMG Values
KPMG,Mid Level,Excellence,Deliver work of the highest quality,Tell me about a project where you exceeded expectations and how you achieved exceptional results.,Culture Fit,Medium,KPMG Values
KPMG,Senior,Courage,Have the courage to do what's right,Give me an example of when you challenged the status quo to improve a process or outcome.,Problem Solving,Hard,KPMG Values
KPMG,Leadership,Together,Work as one team to serve clients and society,Describe how you've unified disparate teams around a common goal during a challenging period.,Teamwork,Hard,KPMG Values
Oliver Wyman,Entry Level,Intellectual Rigor,Apply deep thinking and analysis to complex problems,Tell me about a time when you had to analyze a complex dataset to drive decision-making.,Problem Solving,Medium,Company Culture
Oliver Wyman,Mid Level,Client Impact,Create meaningful impact for clients through innovative solutions,Describe a situation where you developed a creative solution to a client's challenging problem.,Culture Fit,Medium,Company Culture
Oliver Wyman,Senior,Collaboration,Work seamlessly across teams and disciplines,Give me an example of how you've facilitated collaboration between different functional areas.,Teamwork,Hard,Company Culture
Oliver Wyman,Leadership,Entrepreneurial Spirit,Think and act like an owner to drive results,Tell me about a time when you took initiative to pursue a new opportunity or approach.,Leadership,Hard,Company Culture
LEK,Entry Level,Analytical Excellence,Apply rigorous analytical thinking to drive insights,Describe a complex problem you solved using structured analytical methods.,Problem Solving,Medium,Company Approach
LEK,Mid Level,Client Partnership,Build lasting relationships based on trust and value creation,Tell me about how you've built a strong working relationship with a challenging stakeholder.,Culture Fit,Medium,Company Approach
LEK,Senior,Impact Focus,Deliver actionable insights that drive real business results,Give me an example of how your analysis directly influenced a major business decision.,Leadership,Hard,Company Approach
LEK,Leadership,Thought Leadership,Shape industry thinking through innovative perspectives,Describe how you've positioned yourself or your team as a thought leader in your field.,Leadership,Hard,Company Approach
Roland Berger,Entry Level,Entrepreneurial Mindset,Think and act like an entrepreneur,Tell me about a time when you identified and pursued a new opportunity.,Culture Fit,Medium,Company Values
Roland Berger,Mid Level,Excellence in Execution,Deliver outstanding results through flawless execution,Describe a project where attention to detail was critical to success.,Problem Solving,Medium,Company Values
Roland Berger,Senior,Global Perspective,Bring international insights to local challenges,Give me an example of how you've applied learnings from one market to solve problems in another.,Leadership,Hard,Company Values
Roland Berger,Leadership,Sustainable Impact,Create long-term value for all stakeholders,Tell me about an initiative you led that balanced short-term results with long-term sustainability.,Leadership,Hard,Company Values
Morgan Stanley,Entry Level,Do the Right Thing,Maintain the highest ethical standards,Describe a situation where you had to choose between personal gain and doing what's right.,Values,Medium,Company Principles
Morgan Stanley,Mid Level,Put Clients First,Always act in the best interests of clients,Tell me about a time when you had to deliver difficult feedback to maintain client trust.,Culture Fit,Medium,Company Principles
Morgan Stanley,Senior,Lead with Exceptional Ideas,Drive innovation and thought leadership,Give me an example of how you've introduced a new idea that significantly improved outcomes.,Problem Solving,Hard,Company Principles
Morgan Stanley,Leadership,Commit to Diversity and Inclusion,Foster an inclusive environment for all,Describe how you've championed diversity and inclusion initiatives in your organization.,Leadership,Hard,Company Principles
Blackstone,Entry Level,Excellence,Strive for excellence in everything we do,Tell me about a time when you refused to accept mediocre results and pushed for excellence.,Culture Fit,Medium,Company Culture
Blackstone,Mid Level,Integrity,Conduct business with the highest ethical standards,Describe a situation where you had to navigate a complex ethical dilemma.,Values,Medium,Company Culture
Blackstone,Senior,Teamwork,Collaborate effectively to achieve superior results,Give me an example of how you've built consensus among stakeholders with competing interests.,Teamwork,Hard,Company Culture
