company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Amazon,Senior,Customer Obsession,Start with customer and work backwards,"Tell me about a time when you had to make a decision that was right for the customer but difficult for your business. How did you handle it?",Culture Fit,Senior,"Leaders start with the customer and work backwards. They work vigorously to earn and keep customer trust. Although leaders pay attention to competitors, they obsess over customers.","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Mid Level,Ownership,Act on behalf of the entire company beyond just your own team,"Describe a situation where you took ownership of a problem that wasn't directly your responsibility. What was the outcome?",Leadership,Mid,"Leaders are owners. They think long term and don't sacrifice long-term value for short-term results. They act on behalf of the entire company, beyond just their own team. They never say 'that's not my job.'","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Leadership,Invent and Simplify,Look for new ideas and ways to simplify,"Give me an example of when you took a complex process and made it simple. What was your approach?",Problem Solving,Leadership,"Leaders expect and require innovation and invention from their teams and always find ways to simplify. They are externally aware, look for new ideas from everywhere, and are not limited by 'not invented here.'","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Senior,Are Right A Lot,Have strong business judgment and good instincts,"Tell me about a time when you were wrong about something important. How did you handle it?",Values,Senior,"Leaders are right a lot. They have strong judgment and good instincts. They seek diverse perspectives and work to disconfirm their beliefs.","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Mid Level,Learn and Be Curious,Never done learning and always seek to improve yourself,"Describe a time when you realized you needed to learn something new to be effective in your role. How did you approach it?",Culture Fit,Mid,"Leaders are never done learning and always seek to improve themselves. They are curious about new possibilities and act to explore them.","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Leadership,Hire and Develop the Best,Raise the performance bar with every hire and promotion,"Tell me about a time when you had to make a difficult hiring decision. Walk me through your thought process.",Leadership,Leadership,"Leaders raise the performance bar with every hire and promotion. They recognize exceptional talent, and willingly move them throughout the organization. Leaders develop leaders and take seriously their role in coaching others.","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Senior,Insist on the Highest Standards,Have relentlessly high standards,"Give me an example of when you pushed back on a deliverable because it didn't meet your standards. How did you handle the situation?",Values,Senior,"Leaders have relentlessly high standards — many people may think these standards are unreasonably high. Leaders are continually raising the bar and drive their teams to deliver high quality products, services, and processes.","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Mid Level,Think Big,Create and communicate bold direction that inspires results,"Describe a time when you proposed an idea that others thought was too ambitious. How did you approach it?",Culture Fit,Mid,"Thinking small is a self-fulfilling prophecy. Leaders create and communicate a bold direction that inspires results. They think differently and look around corners for ways to serve customers.","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Leadership,Bias for Action,Speed matters in business,"Tell me about a time when you had to make a decision with incomplete information. How did you proceed?",Problem Solving,Leadership,"Speed matters in business. Many decisions and actions are reversible and do not need extensive study. We value calculated risk taking.","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Senior,Frugality,Accomplish more with less,"Give me an example of when you achieved significant results with limited resources. What was your approach?",Problem Solving,Senior,"Accomplish more with less. Constraints breed resourcefulness, self-sufficiency, and invention. There are no extra points for growing headcount, budget size, or fixed expense.","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Mid Level,Earn Trust,Listen attentively speak candidly and treat others respectfully,"Describe a situation where you had to rebuild trust with a colleague or stakeholder. How did you approach it?",Teamwork,Mid,"Leaders listen attentively, speak candidly, and treat others respectfully. They are vocally self-critical, even when doing so is awkward or embarrassing.","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Leadership,Dive Deep,Operate at all levels and stay connected to details,"Tell me about a time when you had to go deep into details to solve a problem. What did you discover?",Problem Solving,Leadership,"Leaders operate at all levels, stay connected to the details, audit frequently, and are skeptical when metrics and anecdote differ. No task is beneath them.","Amazon Leadership Principles, Amazon.jobs, 2024"
Amazon,Senior,Have Backbone Disagree and Commit,Respectfully challenge decisions when you disagree,"Give me an example of when you disagreed with your manager's decision. How did you handle it?",Leadership,Senior,"Leaders are obligated to respectfully challenge decisions when they disagree, even when doing so is uncomfortable or exhausting. Leaders have conviction and are tenacious. They do not compromise for the sake of social cohesion. Once a decision is determined, they commit wholly.","Amazon Leadership Principles, Amazon.jobs, 2024"
