company,role,principle_name,principle_description,question,question_type,difficulty,quote,source

TCS,Entry Level,Employee-Customer Connection,"TCS's philosophy that taking care of employees leads to customer satisfaction","Tell me about a time when you supported a colleague's development, and how it ultimately benefited your customers or project outcomes.",Teamwork,Easy,"Employee empathy is the most important principle. If you take care of your employees, they will take care of your customers.","N. Chandrasekaran, TCS Leadership Philosophy, 2018"

TCS,Mid Level,Customer Centricity Excellence,"TCS's sustained focus on customer satisfaction leading to 11 consecutive years of industry leadership","Tell me about a time when you went above and beyond standard service delivery to exceed customer expectations. How did you identify what was truly needed?",Culture Fit,Medium,"TCS's focus on customer centricity has helped them maintain No. 1 leadership in customer satisfaction for a record 11th year.","Whitelane Research Customer Satisfaction Report, 2023"

TCS,Senior,Innovation from Customers,"The philosophy that innovation should be driven by customer needs rather than internal R&D alone","Tell me about a time when customer feedback led you to develop an innovative solution. How did you turn their need into a broader improvement?",Problem Solving,Medium,"Innovation is sourced by the customers themselves. We view customers as the driving force behind innovation.","TCS Management, TCS Innovation Report, 2022"

TCS,Leadership,Digital Transformation Leadership,"TCS's commitment to helping clients navigate digital transformation with deep expertise","Tell me about a time when you led a complex digital transformation initiative. How did you manage both technical challenges and change management?",Leadership,Hard,"We help our clients navigate their digital transformation journeys by combining deep domain expertise with cutting-edge technology.","TCS Digital Transformation Strategy, 2023"

Infosys,Entry Level,Values-Based Excellence,"Narayana Murthy's emphasis on integrity as the foundation of all business success","Tell me about a time when you chose to do the right thing even when it was more difficult or costly. What was the outcome?",Values,Easy,"Integrity is doing the right thing when no one is watching—and that's what builds trust.","N.R. Narayana Murthy, Infosys Founder Philosophy, 2024"

Infosys,Mid Level,Compassionate Capitalism,"The philosophy of using business success to create positive societal impact","Tell me about a time when you balanced business objectives with social responsibility. How did you approach this balance?",Culture Fit,Medium,"Compassionate capitalism is the best solution to poverty, with a broad stakeholder view of business responsibility to society.","N.R. Narayana Murthy, Harvard Business School Interview, 2011"

Infosys,Senior,Leadership by Example,"Gandhi's influence on Infosys leadership philosophy of leading through personal example","Tell me about a time when you had to change team behavior by first changing your own approach. What was your strategy?",Leadership,Medium,"Leadership is not about following the trend; it's about creating one. Leadership by example is fundamental to how we operate.","N.R. Narayana Murthy, Gandhi Leadership Principles, 2023"

Infosys,Leadership,Client Value Creation,"Focus on creating measurable value for clients through technology solutions","Tell me about a time when you went beyond delivering what was asked to create additional value that the client didn't initially recognize they needed.",Leadership,Hard,"Our focus is not just on delivering services, but on creating measurable value and business outcomes for our clients.","Salil Parekh, Infosys Strategy, 2021"

Wipro,Entry Level,Spirit of Wipro Values,"Core values of integrity, respect, and environmental consciousness guiding all decisions","Tell me about a time when you had to make a decision that balanced ethical standards with business pressures. How did you navigate this?",Values,Easy,"The Spirit of Wipro encompasses integrity, respect for people, and commitment to environmental sustainability in everything we do.","Azim Premji, Wipro Values Statement, 2018"

Wipro,Mid Level,Ambition and Execution,"Culture of setting ambitious goals and executing them with precision and accountability","Tell me about a time when you set an ambitious goal that seemed challenging to achieve. How did you break it down and ensure successful execution?",Problem Solving,Medium,"We combine ambitious thinking with disciplined execution to achieve breakthrough results for our clients and stakeholders.","Wipro Corporate Strategy, 2022"

Wipro,Senior,Respect for Individual Potential,"Belief in nurturing every employee's potential and creating inclusive growth opportunities","Tell me about a time when you helped a colleague develop their potential in an area where they initially lacked confidence or experience.",Teamwork,Medium,"We believe in the potential of every individual and create environments where people can grow and contribute their best.","Wipro Human Capital Report, 2021"

Wipro,Leadership,Educational Philanthropy,"Azim Premji's commitment to education and giving back to society","Tell me about how you've contributed to knowledge sharing or education in your community or organization. What was the long-term impact?",Values,Hard,"You cannot mandate philanthropy. It has to come from within, and when it does, it is deeply satisfying.","Azim Premji, Philanthropy Philosophy, 2024"

HCL Technologies,Entry Level,Employee First Philosophy,"HCL's unique approach of putting employees first to drive customer satisfaction","Tell me about a time when prioritizing employee needs led to better customer outcomes. How did you balance these priorities?",Culture Fit,Easy,"Employees first, customers second. When we take care of our employees, they naturally take exceptional care of our customers.","Vineet Nayar, Employees First Customers Second, 2010"

HCL Technologies,Mid Level,Ideapreneurship,"Culture of encouraging intrapreneurship and innovative thinking at all levels","Describe a time when you identified a business opportunity within your role and took initiative to develop it. What was your approach?",Problem Solving,Medium,"We foster ideapreneurship - encouraging every employee to think like an entrepreneur and bring innovative solutions to life.","HCL Technologies Innovation Framework, 2022"

HCL Technologies,Senior,Digital Transformation,"HCL's focus on helping enterprises transform digitally with cutting-edge technology","Tell me about a complex digital transformation project you led. How did you manage stakeholder expectations and technical challenges?",Leadership,Medium,"We enable digital transformation for enterprises by combining deep industry expertise with next-generation technology capabilities.","HCL Digital Transformation Strategy, 2023"

HCL Technologies,Leadership,Value Portal Philosophy,"Transparent sharing of performance metrics and feedback across the organization","Tell me about a time when you implemented radical transparency in your team. How did it change team dynamics and performance?",Leadership,Hard,"Transparency and open feedback loops create trust and drive performance. Everyone should know how they and their team are performing.","Vineet Nayar, Transformers Leadership, 2013"

Tech Mahindra,Entry Level,Rise Philosophy,"The belief that technology should be used to elevate human potential","Tell me about a time when you used technology to help someone achieve something they couldn't do before. What was the impact?",Culture Fit,Easy,"Rise signifies our commitment to using technology to elevate human potential and create a more inclusive world.","Tech Mahindra Rise Philosophy, 2021"

