company,role,principle_name,principle_description,question,question_type,difficulty,quote,source
Warner Bros Discovery,Entry Level,Content Consistency,Delivering consistent quality content that shapes culture and creates appointment viewing,Tell me about a time when you had to maintain consistent quality standards while working under pressure or tight deadlines.,Values,Medium,"Even in an industry of hits and misses, we must acknowledge that our studios business must deliver more consistency. Stories like The Penguin that can shape culture, spark conversations, and become appointment viewing, always win over time.","David Zaslav, CEO, Earnings Call, November 2024"
Warner Bros Discovery,Mid Level,Consumer Experience Focus,Prioritizing seamless and intuitive user experiences across all platforms and touchpoints,Tell me about a time when you identified a poor user experience and took action to improve it for customers.,Problem Solving,Medium,"This is an industry that really needs to meaningfully consolidate, and it's really driven by the consumer experience. Consumers turn on a TV set and they see 16 apps, and each of those [have] different pricing, and you're sitting there with your phone and googling where a show is or where a sport is.","David Zaslav, CEO, Public Statement, 2024"
Warner Bros Discovery,Senior,Operational Effectiveness,Running the company with maximum efficiency and effectiveness while considering all strategic options,Tell me about a time when you had to optimize operations and evaluate multiple strategic options during a challenging period.,Leadership,Hard,"We feel good about where we are. We have to look at all and consider all options, but the No. 1 priority is to run this company as effectively as possible.","David Zaslav, CEO, Public Statement, August 2024"
Warner Bros Discovery,Leadership,Industry Transformation,Leading consolidation and change to strengthen the media industry and improve consumer experience,Tell me about a time when you led a significant transformation or consolidation effort that benefited both your organization and the broader industry.,Leadership,Hard,"It may offer a pace of change and an opportunity for consolidation that may be quite different, that would provide a real positive and accelerated impact on this industry that's needed.","David Zaslav, CEO, Public Statement, November 2024"
Comcast/NBCUniversal,Entry Level,Safe Workplace Culture,Creating and maintaining a safe, respectful workplace where principles and policies are upheld,Tell me about a time when you witnessed or addressed a situation that violated workplace principles or created an unsafe environment.,Culture Fit,Medium,"You should count on your leaders to create a safe and respectful workplace. When our principles and policies are violated, we will always move quickly to take appropriate action, as we have done here.","Brian Roberts & Mike Cavanagh, Leadership Statement, 2023"
Comcast/NBCUniversal,Mid Level,Team Stability,Maintaining business focus and team stability during transitions and unexpected changes,Tell me about a time when you helped maintain team focus and stability during an unexpected change or transition.,Teamwork,Medium,"Think of me as being here for a while. Just settle things down and make sure the businesses and the business leaders and NBCU remain focused on the job at hand.","Mike Cavanagh, President, Public Statement, 2023"
Comcast/NBCUniversal,Senior,Strategic Consistency,Maintaining strategic direction while adapting to environmental changes without overreacting to leadership transitions,Tell me about a time when you maintained strategic consistency during a period of change while still adapting to new circumstances.,Leadership,Hard,"There is no reason for anyone to think we're going to be revisiting our strategy as a result of that all by itself. We will obviously react as the environment changes around us.","Mike Cavanagh, President, Public Statement, 2023"
Comcast/NBCUniversal,Leadership,Transformation Excellence,Leading organizational transformation through innovation, growth, and strategic transactions,Tell me about a time when you led a significant transformation initiative that combined organic growth with strategic partnerships or acquisitions.,Leadership,Hard,"Under Brian's leadership, Comcast has transformed through organic growth, new business innovations, and strategic transactions.","Corporate Leadership Description, 2024"
Paramount Global,Entry Level,Content Machine Focus,Operating as a hit-making content creation machine across multiple genres and platforms,Tell me about a time when you contributed to creating or improving a product or service that had broad appeal across different audiences.,Values,Easy,"At the end of the day, what we are is a hit-making content machine on the film side and on the television side, across multiple genres, from kids to unscripted to scripted — everything.","George Cheeks, CEO CBS, Interview, June 2024"
Paramount Global,Mid Level,Global Leadership with Local Execution,Implementing aligned global strategies while ensuring effective local market execution,Tell me about a time when you implemented a company-wide initiative while adapting it to meet specific local or regional needs.,Teamwork,Medium,"Today, we have an aligned leadership team, and we are going after things globally. So the time has come to actually really do global leadership of free-to-air, streaming and cable networks, combined with local execution.","Bob Bakish, Former CEO, Public Statement, 2023"
